#1 
double table1(576, 7)
	# Time (s)	(1)T_ext	(2)Sol_rad	(3)T_Wall_Ins	(4)T_Ins_Ins	(5)T_Ins_Coat	(6)T_int 
6912000.0	7.0697849012	2.6869137024000005	24.014635400000003	15.391815377	5.7230239135	25.602660829999998
6912300.0	6.7830955304	0.0	23.994930484	15.398397923500001	5.8809787437	25.607246535500003
6912600.0	5.6648080142	0.0	23.956946107999997	15.381315974000001	5.912823274799999	25.607625012
6912900.0	5.294295817	0.0310000002	23.981197209999998	15.429460919	5.9124018655	25.607845539000003
6913200.0	5.2247353802	0.0	23.996952842	15.467895763000001	5.8896593017	25.608097145000002
6913500.0	5.117718969	0.0	23.980744035	15.488894455	5.8156976904	25.61247746
6913800.0	4.9398481917999995	0.0	23.943577889	15.473028633	5.619850962100001	25.618055274
6914100.0	4.8516679752	1.7809424682	23.953041606	15.498148952000001	5.331667202699999	25.618574873
6914400.0	4.5816754144	0.0	23.96319472	15.504296500999999	4.996551283600001	25.621884249999997
6914700.0	4.3183171	0.0	23.935512841999998	15.477654198	4.6521966919999995	25.616086091
6915000.0	4.0278476348	0.4684856172	23.970229924999998	15.478546000000001	4.3776919005	25.618087277
6915300.0	3.8312010048000005	0.0	23.944308382	15.440958036	4.1037074747	25.621254455
6915600.0	3.8128144454	0.0	23.935968392	15.390932058999999	3.9115624082	25.6194819325
6915900.0	3.7760105366	0.0	23.945017289	15.362711577999999	3.9252161157999996	25.619206301000006
6916200.0	3.8773688068	0.3749046808	23.938052612	15.303893233	4.0142955214	25.620970647
6916500.0	3.9579473696000003	1.2182949788000002	23.940557786	15.257244592	4.1599641463	25.617961314
6916800.0	4.0678247648	0.0	23.929222787999997	15.202567989	4.2893287817	25.626407371
6917100.0	4.171799493	0.0	23.934622554999997	15.189041894	4.4348701917	25.622421209000002
6917400.0	4.1663172749	0.0	23.91518048	15.149592198	4.5289748823	25.624082846999997
6917700.0	4.1595094934	0.0	23.900334262999998	15.120758724	4.5973349648	25.622971714000002
6918000.0	4.160012164	0.0	23.907658422	15.122333437000002	4.619504235600001	25.623776245000002
6918300.0	4.2449592121999995	0.0	23.896304766	15.109612534999998	4.5297225486	25.614244493999998
6918600.0	4.4263170968	1.6867805957999997	23.929412163000002	15.126341165	4.4162365103	25.575800641
6918900.0	4.518575483799999	3.905789617	23.917391478	15.125358961000003	4.2900854324	25.578100877
6919200.0	4.494096653200001	0.0	23.8944410975	15.097684328	4.1954300896	25.574201739
6919500.0	4.5404986812	0.0	23.891212754	15.079230383	4.1686179037999995	25.579440841999997
6919800.0	4.427224799199999	0.0	23.892212698999998	15.058338697	4.163418650800001	25.572034311
6920100.0	4.419003257199999	0.0	23.886544707	15.040968378999999	4.1986467512	25.566007093499998
6920400.0	4.512993485400001	0.0	23.868081118	15.020820274	4.2488378131	25.56481807
6920700.0	4.550327826	0.0	23.862187281	14.997635394	4.3013310311	25.5604301945
6921000.0	4.4447225132	0.0	23.858484917000002	14.984458859	4.3496948032	25.561130586
6921300.0	4.4016610974	0.7394760284	23.867288104	14.987038177999999	4.3957730471000005	25.563162898
6921600.0	4.395620157800001	1.4789520568	23.891213305	15.005756523000002	4.4959187922	25.569023795
6921900.0	4.540884270399999	0.0	23.857466157	14.979096153	4.5377627789999995	25.560042908
6922200.0	4.5713948146	0.0206666668	23.826185553000002	14.948290658000001	4.538795160399999	25.55742736
6922500.0	4.435697042599999	7.2598460114000005	23.857402107	14.973840025	4.5855206691	25.558956572
6922800.0	4.5242206516	0.0	23.8212293835	14.9408284045	4.562331275	25.5461785695
6923100.0	4.481231592	0.0	23.820529734	14.961299692999999	4.569441404299999	25.554860106
6923400.0	4.4877635376	0.0	23.84236003	14.979035567999997	4.564623731799999	25.554434053
6923700.0	4.4100187932	0.0	23.866104992	15.003758978	4.5228208447	25.560184574000004
6924000.0	4.3360225004	0.49948561700000005	23.849044445	14.999769173	4.4670653539	25.551692088000003
6924300.0	4.5001701172	2.4681708936	23.83861686	14.980020348000002	4.386160628800001	25.5474461755
6924600.0	4.2723772808	0.0	23.848869223	14.995285372	4.293147315200001	25.549265736
6924900.0	4.1969436002	0.4684856172	23.844810732	14.981943817000001	4.1286237556	25.552039057499996
6925200.0	4.1296967001	0.0	23.827523194999998	14.964315082999999	3.9527182701999997	25.561208187999995
